                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                0.78408,                0.56294,                 1.2611,                 0.9207,                0.88508,                  0.951,                0.67897,                 1.0076,                 0.6752,                 1.8457,              0.0098367,              0.0098367,              0.0098367
                     35,                0.78027,                0.54632,                 1.2613,                0.92202,                0.92274,                0.97331,                0.67907,                 1.1047,                0.72528,                 1.7997,              0.0098317,              0.0098317,              0.0098317
                     36,                0.77483,                0.53499,                 1.2436,                0.85855,                0.87847,                0.92843,                0.61947,                 1.1215,                0.70404,                 1.9482,              0.0098268,              0.0098268,              0.0098268
                     37,                0.77759,                0.55862,                 1.2337,                 0.9322,                0.86754,                0.95717,                0.69799,                 1.0756,                0.68755,                 1.7238,              0.0098218,              0.0098218,              0.0098218
                     38,                0.77279,                0.52599,                 1.2338,                0.89766,                0.82244,                0.92273,                0.65526,                 1.1233,                0.91041,                  1.905,              0.0098169,              0.0098169,              0.0098169
                     39,                0.75912,                0.55189,                 1.2494,                0.86039,                0.92937,                0.93137,                0.70194,                 1.0081,                0.56475,                 1.8474,              0.0098119,              0.0098119,              0.0098119
                     40,                0.78477,                0.56487,                 1.2472,                0.91829,                0.93499,                0.93629,                0.70582,                 1.0289,                0.68321,                  1.885,               0.009807,               0.009807,               0.009807
                     41,                0.75588,                0.53791,                  1.242,                 0.8557,                0.94517,                 0.9489,                0.66143,                 1.0936,                0.91039,                    1.9,               0.009802,               0.009802,               0.009802
                     42,                0.72393,                0.52016,                 1.2081,                0.93746,                0.87024,                0.95557,                0.70734,                0.89037,                0.86006,                 1.6313,               0.009797,               0.009797,               0.009797
                     43,                0.75543,                0.56422,                 1.2308,                0.91594,                0.91674,                 0.9409,                0.70824,                0.98156,                0.73142,                 1.6957,              0.0097921,              0.0097921,              0.0097921
                     44,                0.73974,                0.52189,                 1.2043,                0.92682,                0.88418,                0.94007,                0.65839,                  1.113,                0.67498,                 1.8288,              0.0097871,              0.0097871,              0.0097871
                     45,                0.72829,                0.53387,                 1.2215,                 0.9214,                0.88503,                0.93965,                 0.6301,                 1.2037,                0.68204,                 2.0102,              0.0097822,              0.0097822,              0.0097822
                     46,                0.73149,                0.52845,                 1.2146,                0.94142,                0.93183,                0.95922,                0.69949,                 1.1141,                0.52499,                 1.9179,              0.0097773,              0.0097773,              0.0097773
                     47,                 0.7122,                0.51592,                 1.1981,                0.81957,                0.97368,                0.94084,                0.66114,                 1.1195,                0.60301,                 2.2343,              0.0097723,              0.0097723,              0.0097723
                     48,                0.72345,                 0.5027,                 1.2237,                0.80814,                0.91453,                0.94872,                0.68384,                 1.1978,                0.64976,                 2.0726,              0.0097674,              0.0097674,              0.0097674
                     49,                0.72739,                0.51245,                 1.2218,                0.91495,                0.87343,                0.94792,                 0.6611,                 1.1613,                0.71704,                 1.9485,              0.0097624,              0.0097624,              0.0097624
                     50,                0.71412,                0.49714,                 1.2214,                0.98014,                 0.9174,                0.97212,                0.70195,                 1.1334,                0.63009,                 1.9781,              0.0097575,              0.0097575,              0.0097575
                     51,                0.71046,                0.50587,                 1.1984,                0.89215,                0.86491,                0.96318,                0.70944,                 1.0443,                0.75344,                 1.8035,              0.0097525,              0.0097525,              0.0097525
                     52,                 0.6891,                0.50375,                 1.1796,                0.92057,                0.96018,                0.97962,                0.68106,                 1.0578,                0.55403,                 2.0113,              0.0097476,              0.0097476,              0.0097476
                     53,                0.71037,                0.50741,                  1.202,                0.90142,                0.84597,                0.95539,                0.66932,                0.99123,                0.80457,                 1.7178,              0.0097426,              0.0097426,              0.0097426
                     54,                0.67363,                0.47982,                 1.1784,                0.86239,                0.83618,                0.92577,                0.66607,                  1.098,                 1.4342,                 1.7401,              0.0097377,              0.0097377,              0.0097377
                     55,                0.67865,                0.48452,                 1.1822,                0.79696,                0.89521,                0.92042,                0.63949,                 1.0743,                0.84455,                 1.9166,              0.0097327,              0.0097327,              0.0097327
                     56,                0.68957,                0.49589,                 1.1796,                0.91339,                 0.8916,                0.94887,                0.70727,                0.99585,                0.60431,                 1.7861,              0.0097278,              0.0097278,              0.0097278
                     57,                0.67037,                0.47742,                 1.1595,                0.91536,                0.95254,                 0.9622,                0.69641,                 1.0814,                0.51395,                 1.8359,              0.0097228,              0.0097228,              0.0097228
                     58,                0.69039,                0.48214,                 1.1895,                 0.9427,                0.94168,                0.96234,                0.69903,                 1.0395,                0.58145,                 1.9073,              0.0097179,              0.0097179,              0.0097179
                     59,                0.69758,                0.49565,                 1.1919,                0.85057,                0.89535,                0.93138,                0.68055,                   1.12,                0.96389,                 1.8201,              0.0097129,              0.0097129,              0.0097129
                     60,                0.70774,                0.50706,                 1.2104,                0.93845,                0.94987,                0.95876,                0.72887,                  1.102,                0.61066,                 1.8974,               0.009708,               0.009708,               0.009708
                     61,                0.68306,                0.48612,                 1.2011,                 0.9506,                0.96606,                0.96891,                0.74211,                0.99848,                0.50071,                 1.7517,               0.009703,               0.009703,               0.009703
                     62,                0.65562,                0.47198,                 1.1647,                0.98687,                0.93586,                0.97428,                0.68431,                 1.0408,                0.50501,                  1.844,               0.009698,               0.009698,               0.009698
                     63,                0.67744,                0.47957,                 1.1859,                0.94511,                0.92258,                0.93846,                0.67469,                 1.0851,                0.55573,                 1.8833,              0.0096931,              0.0096931,              0.0096931
                     64,                0.68767,                0.49258,                 1.1783,                0.83347,                0.96965,                0.95892,                0.67013,                 1.0309,                0.61127,                 1.9021,              0.0096881,              0.0096881,              0.0096881
                     65,                0.66893,                0.44473,                 1.1645,                0.95035,                0.92356,                0.96374,                0.66369,                 1.0526,                 0.5448,                 1.8828,              0.0096832,              0.0096832,              0.0096832
